PUBLICATION_DATE,UID,UNIQUE_ID,SITE_ID,PSTL_CODE,VISIT_NO,DATE_COL,LAB_SAMPLE_ID,SAMPLE_ID,LAB,MATRIX,SAM_CODE,DATE_RECEIVED,BATCH_ID,DATE_ANALYZED,DILUTION_FACTOR,EXTRACT,HOLDING_TIME,MDL,NARS_FLAG,QA_FLAG,RESULT,RESULT_UNITS,RESULT_VOL,RESULT_VOL_UNITS,RL,SHIP_FLAG,VOLUME_ADJUST,VOLUME_FILTERED
6/2/2026,2022076,NRS_CA-11446,NRS23_CA_10261,CA,1,6/14/2023,2310139,241083,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230623.1,6/23/2023,,112,9,0.29,,,0.6712,ug/cm2,179,ug/L,1,,,25
6/2/2026,2022077,NRS_IA-10150,NRS23_IA_10015,IA,1,7/12/2023,2310144,242063,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230626.1,6/26/2023,,209,11,0.29,,,1.568,ug/cm2,418,ug/L,1,,,20
6/2/2026,2022078,NRS_NY-10162,NRS23_NY_10009,NY,1,6/15/2023,2310147,242583,PESD-AL,PERIPHYTON,REGULAR,6/17/2023,230626.1,6/26/2023,,34.8,11,0.29,,,0.2089,ug/cm2,55.7,ug/L,1,,,25
6/2/2026,2022079,NRS_MI-10147,NRS23_MI_10014,MI,1,6/15/2023,2310127,234243,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230623.1,6/23/2023,,522,8,0.29,,,3.131,ug/cm2,835,ug/L,1,,,25
6/2/2026,2022080,NRS_PA-10167,NRS23_PA_10100,PA,1,6/15/2023,2310141,235943,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230623.1,6/23/2023,9,990,8,0.29,,,9.9,ug/cm2,2640,ug/L,1,,,15
6/2/2026,2022081,NRS_FL-10193,NRS23_FL_10007,FL,1,6/14/2023,2310124,241783,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230623.1,6/23/2023,,63.5,9,0.29,,,0.3864,ug/cm2,102,ug/L,1,,,25
6/2/2026,2022082,NRS_OH-10138,NRS23_OH_10067,OH,1,6/15/2023,2310134,235583,PESD-AL,PERIPHYTON,REGULAR,6/16/2023,230623.1,6/23/2023,,441,8,0.29,,,2.648,ug/cm2,706,ug/L,1,,,25
6/2/2026,2022083,NRS_NJ-10077,NRS23_NJ_10009,NJ,1,6/15/2023,2310154,242643,PESD-AL,PERIPHYTON,REGULAR,6/19/2023,230626.1,6/26/2023,,481,11,0.29,S,,2.887,ug/cm2,770,ug/L,1,,,25
6/2/2026,2022084,NRS_WA-10444,NRS23_WA_10051,WA,1,6/15/2023,2310152,236223,PESD-AL,PERIPHYTON,REGULAR,6/17/2023,230626.1,6/26/2023,,247,11,0.29,,,1.481,ug/cm2,395,ug/L,1,,,25
6/2/2026,2022085,NRS_TX-10305,NRS23_TX_10029,TX,1,6/15/2023,2310145,244803,PESD-AL,PERIPHYTON,REGULAR,6/17/2023,230626.1,6/26/2023,,431,11,0.29,,,2.588,ug/cm2,690,ug/L,1,,,25
