PUBLICATION_DATE,UID,SAMPLE_TYPE,SITE_ID,DATE_COL,VISIT_NO,PSTL_CODE,UNIQUE_ID,LAB,MATRIX,SAM_CODE,ANALYTE,BATCH_ID,SAMPLE_ID,LAB_SAMPLE_ID,DATE_ANALYZED,DATE_RECEIVED,HOLDING_TIME,HOLDING_TIME_UNITS,RESULT_VOL,RESULT_VOL_UNITS,RESULT,RESULT_UNITS,VOLUME_FILTERED,VOLUME_FILTERED_UNITS,RL,RL_UNITS,EXTRACT,EXTRACT_UNITS,QA_FLAG,NARS_FLAG,NARS_COMMENT
6/1/2026,2022385,PBIO,NRS23_MA_10014,7/19/2023,1,MA,NRS_MA-10114,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.2,247462,2310413,11/27/2023,7/20/2023,131,days,218,mg/L,0.8175,mg/cm2,25,mL,1,mg,5.4,mg,,,
6/1/2026,2022386,PBIO,NRS23_WY_10307,7/18/2023,1,WY,NRS_WY-10714,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.2,243602,2310422,11/27/2023,7/20/2023,132,days,543,mg/L,1.666,mg/cm2,25,mL,1,mg,13.6,mg,,,
6/1/2026,2022387,PBIO,NRS23_AR_10008,7/19/2023,1,AR,NRS_AR-10231,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.3,254502,2310435,11/27/2023,7/21/2023,131,days,513,mg/L,1.924,mg/cm2,15,mL,1,mg,7.7,mg,,,
6/1/2026,2022388,PBIO,NRS23_NE_10009,7/19/2023,1,NE,NRS_NE-10159,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.2,244982,2310421,11/27/2023,7/20/2023,131,days,109,mg/L,0.4088,mg/cm2,25,mL,1,mg,2.7,mg,,,
6/1/2026,2022389,PBIO,NRS23_NC_10021,7/19/2023,1,NC,NRS_NC-10468,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.2,242182,2310415,11/27/2023,7/20/2023,131,days,1560,mg/L,5.85,mg/cm2,25,mL,1,mg,39,mg,,,
6/1/2026,2022390,PBIO,NRS23_KY_10068,7/18/2023,1,KY,NRS_KY-10140,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.2,251442,2310420,11/27/2023,7/20/2023,132,days,480,mg/L,1.8,mg/cm2,25,mL,1,mg,12,mg,,,
6/1/2026,2022391,PBIO,NRS23_OR_10049,7/19/2023,1,OR,NRS_OR-10710,PESD-AL,PERIPHYTON,REGULAR,AFDM,231211.1,244422,2310446,12/11/2023,7/21/2023,145,days,450,mg/L,1.688,mg/cm2,25,mL,1,mg,11.3,mg,,,
6/1/2026,2022392,PBIO,NRS23_CA_10086,7/19/2023,1,CA,NRS_CA-11225,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.3,244022,2310440,11/27/2023,7/21/2023,131,days,166,mg/L,0.6225,mg/cm2,25,mL,1,mg,4.1,mg,,,
6/1/2026,2022393,PBIO,NRS23_WA_10048,7/18/2023,1,WA,NRS_WA-10496,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.3,238162,2310428,11/27/2023,7/20/2023,132,days,81.6,mg/L,0.306,mg/cm2,25,mL,1,mg,2,mg,,,
6/1/2026,2022394,PBIO,NRS23_MI_10027,7/19/2023,1,MI,NRS_MI-10153,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.3,244342,2310442,11/27/2023,7/21/2023,131,days,124,mg/L,0.465,mg/cm2,25,mL,1,mg,3.1,mg,,,
6/1/2026,2022395,PBIO,NRS23_KS_10171,7/19/2023,1,KS,NRS_KS-10367,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.3,248162,2310432,11/27/2023,7/21/2023,131,days,287,mg/L,1.076,mg/cm2,25,mL,1,mg,7.2,mg,,,
6/1/2026,2022396,PBIO,NRS23_ID_10012,7/19/2023,1,ID,NRS_ID-10392,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.3,237422,2310438,11/27/2023,7/21/2023,131,days,131,mg/L,0.4912,mg/cm2,25,mL,1,mg,3.3,mg,,,
6/1/2026,2022397,PBIO,NRS23_OK_10023,7/19/2023,1,OK,NRS_OK-10186,ODEQ,PERIPHYTON,REGULAR,AFDM,7/24/2023,240482,OWRB-1822078-09,7/24/2023,,5,days,352,mg/L,0.0006519,mg/cm2,25,mL,,,,,,,
6/1/2026,2022398,PBIO,NRS23_NH_10011,7/20/2023,1,NH,NRS_NH-10145,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.3,250662,2310443,11/27/2023,7/21/2023,130,days,188,mg/L,0.705,mg/cm2,25,mL,1,mg,4.7,mg,,,
6/1/2026,2022399,PBIO,NRS23_NC_10008,7/20/2023,1,NC,NRS_NC-10151,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.3,242522,2310430,11/27/2023,7/21/2023,130,days,410,mg/L,1.537,mg/cm2,25,mL,1,mg,10.3,mg,,,
6/1/2026,2022400,PBIO,NRS23_ND_10111,7/19/2023,1,ND,NRS_ND-10506,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.3,247362,2310434,11/27/2023,7/21/2023,131,days,223,mg/L,0.8363,mg/cm2,25,mL,1,mg,5.6,mg,,,
6/1/2026,2022401,PBIO,NRS23_LA_10056,7/20/2023,1,LA,NRS_LA-10259,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.3,246062,2310433,11/27/2023,7/21/2023,130,days,230,mg/L,0.8625,mg/cm2,25,mL,1,mg,5.7,mg,,,
6/1/2026,2022402,PBIO,NRS23_WI_10021,7/19/2023,1,WI,NRS_WI-10198,PESD-AL,PERIPHYTON,REGULAR,AFDM,231211.1,245822,2310444,12/11/2023,7/21/2023,145,days,149,mg/L,0.5588,mg/cm2,25,mL,1,mg,3.7,mg,,,
6/1/2026,2022403,PBIO,NRS23_WI_10009,7/20/2023,1,WI,NRS_WI-10215,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.3,245802,2310437,11/27/2023,7/21/2023,130,days,1.6,mg/L,0.006,mg/cm2,25,mL,1,mg,0,mg,LRL,L,
6/1/2026,2022404,PBIO,NRS23_OR_10127,7/20/2023,1,OR,NRS_OR-10739,PESD-AL,PERIPHYTON,REGULAR,AFDM,231211.1,248802,2310445,12/11/2023,7/21/2023,144,days,97.2,mg/L,0.3645,mg/cm2,25,mL,1,mg,2.4,mg,,,
6/1/2026,2022405,PBIO,NRS23_SD_10070,7/20/2023,1,SD,NRS_SD-10460,PESD-AL,PERIPHYTON,REGULAR,AFDM,231211.1,254702,2310450,12/11/2023,7/22/2023,144,days,153,mg/L,0.5738,mg/cm2,25,mL,1,mg,3.8,mg,,,
6/1/2026,2022406,PBIO,NRS23_RI_10001,7/20/2023,2,RI,NRS_RI-10071,PESD-AL,PERIPHYTON,REGULAR,AFDM,231211.1,246542,2310447,12/11/2023,7/22/2023,144,days,384,mg/L,1.44,mg/cm2,25,mL,1,mg,9.6,mg,,,
6/1/2026,2022407,PBIO,NRS23_PA_10007,7/20/2023,1,PA,NRS_PA-10115,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.3,245502,2310439,11/27/2023,7/21/2023,130,days,68.4,mg/L,0.2565,mg/cm2,25,mL,1,mg,1.7,mg,,,
6/1/2026,2022408,PBIO,NRS23_CA_10248,7/20/2023,1,CA,NRS_CA-11433,PESD-AL,PERIPHYTON,REGULAR,AFDM,231211.1,244002,2310449,12/11/2023,7/22/2023,144,days,152,mg/L,0.57,mg/cm2,25,mL,1,mg,3.8,mg,,,
6/1/2026,2022409,PBIO,NRS23_TX_10025,7/19/2023,1,TX,NRS_TX-10292,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.3,244882,2310441,11/27/2023,7/21/2023,131,days,616,mg/L,2.31,mg/cm2,11,mL,1,mg,6.8,mg,,,
6/1/2026,2022410,PBIO,NRS23_WA_10076,7/19/2023,1,WA,NRS_WA-10505,PESD-AL,PERIPHYTON,REGULAR,AFDM,231211.1,237942,2310456,12/11/2023,7/22/2023,145,days,88.8,mg/L,0.333,mg/cm2,25,mL,1,mg,2.2,mg,,S,
6/1/2026,2022411,PBIO,NRS23_WA_10028,7/20/2023,1,WA,NRS_WA-10476,PESD-AL,PERIPHYTON,REGULAR,AFDM,231211.1,238122,2310454,12/11/2023,7/22/2023,144,days,80.8,mg/L,0.303,mg/cm2,25,mL,1,mg,2,mg,,,
6/1/2026,2022412,PBIO,NRS23_AR_10003,7/20/2023,1,AR,NRS_AR-10230,PESD-AL,PERIPHYTON,REGULAR,AFDM,231211.1,254522,2310452,12/11/2023,7/22/2023,144,days,121,mg/L,0.4538,mg/cm2,25,mL,1,mg,3,mg,,,
6/1/2026,2022414,PBIO,NRS23_DE_10034,7/19/2023,1,DE,NRS_DE-10103,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.3,232382,2310431,11/27/2023,7/21/2023,131,days,150,mg/L,0.5114,mg/cm2,25,mL,1,mg,3.8,mg,,,
6/1/2026,2022415,PBIO,NRS23_KY_10025,7/19/2023,1,KY,NRS_KY-10132,PESD-AL,PERIPHYTON,REGULAR,AFDM,231127.3,251402,2310436,11/27/2023,7/21/2023,131,days,157,mg/L,0.5888,mg/cm2,25,mL,1,mg,3.9,mg,,,
6/1/2026,2022416,PBIO,NRS23_KY_10009,7/20/2023,1,KY,NRS_KY-10107,PESD-AL,PERIPHYTON,REGULAR,AFDM,231211.1,251322,2310458,12/11/2023,7/24/2023,144,days,572,mg/L,2.145,mg/cm2,25,mL,1,mg,14.3,mg,,S,
6/1/2026,2022417,PBIO,NRS23_SD_10009,7/20/2023,2,SD,NRS_SD-10443,PESD-AL,PERIPHYTON,REGULAR,AFDM,231211.1,240982,2310448,12/11/2023,7/22/2023,144,days,905,mg/L,3.394,mg/cm2,25,mL,1,mg,22.6,mg,,,
6/1/2026,2022418,PBIO,NRS23_TX_10030,7/21/2023,1,TX,NRS_TX-10306,PESD-AL,PERIPHYTON,REGULAR,AFDM,231211.1,244242,2310453,12/11/2023,7/22/2023,143,days,539,mg/L,2.021,mg/cm2,25,mL,1,mg,13.5,mg,,,
